"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","402","Upload_ShouldFail_WhenFileIsTooLarge","ThatChat.Backend.Tests","Tue Dec 09 21:10:56 UTC 2025","passed","Tue Dec 09 21:10:56 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","Upload_ShouldFail_WhenFileIsTooLarge"
"","750","JoinChat_ShouldNotReceiveMessages_IfUserHasNoAccess","ThatChat.Backend.Tests","Tue Dec 09 21:10:57 UTC 2025","passed","Tue Dec 09 21:10:58 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","JoinChat_ShouldNotReceiveMessages_IfUserHasNoAccess"
"","153","CreateOrGetPrivateChat_ShouldCreateNew_WhenNoneExists","ThatChat.Backend.Tests","Tue Dec 09 21:10:58 UTC 2025","passed","Tue Dec 09 21:10:58 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","CreateOrGetPrivateChat_ShouldCreateNew_WhenNoneExists"
"","65","SaveMessage_ShouldReturnNull_WhenMessageAndFileAreEmpty","ThatChat.Backend.Tests","Tue Dec 09 21:10:58 UTC 2025","passed","Tue Dec 09 21:10:58 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldReturnNull_WhenMessageAndFileAreEmpty"
"","335","GetChats_ShouldReturnGlobalChat_ForNewUser","ThatChat.Backend.Tests","Tue Dec 09 21:10:55 UTC 2025","passed","Tue Dec 09 21:10:56 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","GetChats_ShouldReturnGlobalChat_ForNewUser"
"","26","SaveMessage_ShouldFail_IfUserIsNotInChat","ThatChat.Backend.Tests","Tue Dec 09 21:10:58 UTC 2025","passed","Tue Dec 09 21:10:58 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldFail_IfUserIsNotInChat"
"","2281","CreateChat_ShouldReturn200_WhenUserExists","ThatChat.Backend.Tests","Tue Dec 09 21:10:53 UTC 2025","passed","Tue Dec 09 21:10:55 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","CreateChat_ShouldReturn200_WhenUserExists"
"","102","Middleware_ShouldHandleConcurrentRequests","ThatChat.Backend.Tests","Tue Dec 09 21:10:56 UTC 2025","passed","Tue Dec 09 21:10:56 UTC 2025","ChatApiTests","ThatChat.Backend.Tests.Api","ChatApiTests","Middleware_ShouldHandleConcurrentRequests"
"","355","SendMessage_ShouldBroadcastToGroup","ThatChat.Backend.Tests","Tue Dec 09 21:10:58 UTC 2025","passed","Tue Dec 09 21:10:58 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","SendMessage_ShouldBroadcastToGroup"
"","13","SaveMessage_ShouldReturnNull_WhenMessageIsTooLong","ThatChat.Backend.Tests","Tue Dec 09 21:10:58 UTC 2025","passed","Tue Dec 09 21:10:58 UTC 2025","ChatServiceTests","ThatChat.Backend.Tests.Services","ChatServiceTests","SaveMessage_ShouldReturnNull_WhenMessageIsTooLong"
"","572","CreateChat_ShouldNotifyTargetUser_ViaSignalR","ThatChat.Backend.Tests","Tue Dec 09 21:10:56 UTC 2025","passed","Tue Dec 09 21:10:57 UTC 2025","ChatHubTests","ThatChat.Backend.Tests.Hubs","ChatHubTests","CreateChat_ShouldNotifyTargetUser_ViaSignalR"
